Team,Match Up,Game Date,W/L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
OKC,OKC @ NOP,04/13/2025,W,12,135.7,67.9,67.9,40.0,2.0,16.2,25.0,82.4,58.6,10.7,65.4,67.4,112.0,82.2
BOS,BOS vs. CHA,04/13/2025,W,12,143.5,62.5,81.0,61.5,4.0,22.9,33.3,85.7,61.5,8.7,66.0,66.0,94.0,80.6
MEM,MEM vs. DAL,04/13/2025,W,12,131.0,100.0,31.0,71.4,5.0,24.4,18.2,58.8,42.9,6.9,66.0,68.7,114.0,72.4
MIL,MIL vs. DET,04/13/2025,W,12,159.3,92.6,66.7,56.3,1.8,23.7,25.0,86.7,65.2,18.5,85.4,86.4,108.0,70.7
DEN,DEN @ HOU,04/13/2025,W,12,150.0,95.8,54.2,53.3,2.67,21.6,55.6,71.4,65.2,12.5,68.8,69.9,96.0,68.8
GSW,GSW vs. LAC,04/13/2025,L,12,132.0,100.0,32.0,58.3,1.4,21.2,14.3,81.8,55.6,20.0,75.0,78.3,100.0,63.6
SAC,SAC vs. PHX,04/13/2025,W,12,150.0,113.6,36.4,53.8,1.75,21.9,37.5,66.7,55.0,18.2,73.8,75.4,88.0,61.5
MIN,MIN vs. UTA,04/13/2025,W,12,120.0,96.0,24.0,50.0,2.0,16.7,38.5,92.9,66.7,12.0,56.0,57.0,100.0,60.2
CLE,CLE vs. IND,04/13/2025,L,12,118.5,96.3,22.2,50.0,0.75,17.6,12.5,81.3,58.3,29.6,83.3,81.0,108.0,55.9
ATL,ATL vs. ORL,04/13/2025,W,12,129.2,100.0,29.2,53.8,1.75,20.6,30.0,63.6,47.6,16.7,67.4,67.4,96.0,53.9
TOR,TOR @ SAS,04/13/2025,L,12,132.1,110.3,21.8,92.3,6.0,28.6,14.3,88.9,43.5,7.1,63.5,65.6,114.0,53.3
MIA,MIA vs. WAS,04/13/2025,L,12,116.7,125.0,-8.3,75.0,4.5,23.1,40.0,76.9,57.1,8.3,50.0,51.0,96.0,51.4
